Borough,Site type,Park/Site Name,Address,Latitude,Longitude
Bronx,Subproperty,227th St. Plgd,E 227 St/Bronx River Pkway,40.890848989,-73.864223918
Bronx,Subproperty,Allerton Ballfields,Allerton Ave & Moshulu Pkway,40.8488907878,-73.8771283938
Bronx,Outdoor,Arthur Ave & E 187 St,Arthur Ave & 187 St,40.85557,-73.887565000000000
Bronx,Outdoor ,Barstow Mansion,"895 Shore Road, Pelham Bay Park",40.871864,-73.805549
Bronx,Subproperty,Bradley Playground,2001-2017 Bronx Park E,40.851889,-73.868549
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.861526000000000,-73.880659000000000
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.860755000000000,-73.880423000000000
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.859644000000000,-73.880472000000000
Bronx,Outdoor,Bronx Botanical Gardens,Visitors Service Center,40.862602000000000,-73.880171000000000
Bronx,Outdoor,Bronx County Courthouse,161 ST/Grand Concourse,40.826939,-73.922314
Bronx,Outdoor,Bronx County Courthouse,161 ST/Grand Concourse,40.826627,-73.922447
Bronx,Outdoor ,Bronx Park,Lydig Ave & Bronx Park E,40.854322,-73.869764
Bronx,Outdoor ,Bronx Park Playground at Lydig,Lydig Ave & Bronx Park E,40.854445,-73.869863
Bronx,Outdoor,Bronx Zoo,Entrance to Cafeteria,40.849760000000000,-73.880055000000000
Bronx,Outdoor,Bronx Zoo,Cafeteria,40.850017000000000,-73.880035000000000
Bronx,Greenthumb,Bryant Hill Community Garden,Bryant Avenue Bet. Seneca and Garrison Aves.,40.819933,-73.887069
Bronx,Outdoor ,Burke Bridge,,40.871706,-73.872741
Bronx,Outdoor,College of Mt. St. Vincent,In front of Alumnae Hall,40.911295000000000,-73.907652000000000
Bronx,Outdoor,College of Mt. St. Vincent,In front of Cardinal Spellman Hall,40.911236000000000,-73.907910000000000
Bronx,Outdoor ,Concrete Plant Park,Bronx River bet. Westchster Av and Bruckner Blvd,40.825217,-73.88546
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.840115,-73.895513
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.835226,-73.895652
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.84133,-73.892702
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.840876,-73.898206
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.838351,-73.893566
Bronx,Outdoor ,Crotona Park ,1700 Crotona Ave,40.841123,-73.898056
Bronx,Outdoor,E 174 St & Manor Ave,174 St & Manor Ave,40.833770000000000,-73.877453000000000
